Time               	Data
19:31:39.513       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 a4
19:31:39.513       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 3f 00
19:31:39.514       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 61 2a
19:31:39.514       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 c0 00 00 2a
19:31:39.515       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 c0
19:31:39.517       	00 00 00 00 32 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 62 28 82 02 78 21 83 02 3f 00 a5 06 80 01 71 87 01 01 8a 01 05 ab 0b 80 01 87 a4 06 83 01 0a 95 01 08 c6 06 90 01 00 83 01 01
19:31:39.517       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 90 00
19:31:39.518       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 a4 00 04 02
19:31:39.518       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 a4
19:31:39.519       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 2f 05
19:31:39.519       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 6a 82
19:31:39.520       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 80 10 00 00 1e
19:31:39.520       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 10
19:31:39.521       	00 00 a2 fc 26 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 ff ff ff ff 5f dd 00 df ff 03 02 1f e2 00 00 00 c3 c9 00 00 00 00 40 00 50 00 00 00 00 08
19:31:39.627       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 91 0f
19:31:39.628       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 a4 08 04 02
19:31:39.628       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 a4
19:31:39.629       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 2f 00
19:31:39.629       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 6a 82
19:31:39.630       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 a4 00 04 02
19:31:39.630       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 a4
19:31:39.631       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 3f 00
19:31:39.631       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 61 2a
19:31:39.632       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 c0 00 00 2a
19:31:39.632       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 c0
19:31:39.634       	00 00 00 00 32 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 62 28 82 02 78 21 83 02 3f 00 a5 06 80 01 71 87 01 01 8a 01 05 ab 0b 80 01 87 a4 06 83 01 0a 95 01 08 c6 06 90 01 00 83 01 01
19:31:39.634       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 91 0f
19:31:39.635       	00 00 a2 fc 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 a4 00 04 02
19:31:39.635       	00 00 a2 fc 09 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 a4
19:31:39.636       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 2f 00
19:31:39.637       	00 00 a2 fc 0a 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 01 01 02 00 6a 82
19:31:44.127       	00 00 49 5f 0d 00 00 00 14 00 00 00 14 00 00 00 ff ff 00 00 00 01 02 00 00 a4 08 04 02
